voter_id,group_way_abs,rebeling,rebel,group_id
Vít Prýgl,640,61,9.53,ANO
Karel Kalivoda,640,12,1.88,ANO
Karin Karasová,40,1,2.5,ANO
Karin Podivinská,600,17,2.83,ANO
Kateřina Jarošová,640,11,1.72,ANO
Pavel Outrata,640,5,0.78,ANO
Pavel Kříž,640,4,0.62,ANO
Petr Bořecký,640,9,1.41,ANO
Miroslav Kubásek,640,0,0.0,ANO
René Novotný,640,19,2.97,ANO
René Černý,640,12,1.88,ANO
Alena Gruberová,640,8,1.25,ANO
Daniel Struž,640,4,0.62,ANO
Petr Bauer,640,0,0.0,ANO
Břetislav Štefan,628,27,4.3,ČSSD
Marek Viskot,628,12,1.91,ČSSD
Jiří Oliva,628,15,2.39,ČSSD
Michal Marek,640,18,2.81,KDU-ČSL a STAN
Jaroslav Suchý,640,6,0.94,KDU-ČSL a STAN
Petr Hladík,640,28,4.38,KDU-ČSL a STAN
Jakub Hruška,640,2,0.31,KDU-ČSL a STAN
Irena Matonohová,640,12,1.88,KDU-ČSL a STAN
Filip Leder,640,12,1.88,KDU-ČSL a STAN
Filip Chvátal,640,7,1.09,KDU-ČSL a STAN
Radomír Vondra,640,2,0.31,KDU-ČSL a STAN
Jitka Ivičičová,640,29,4.53,KDU-ČSL a STAN
Martin Maleček,640,58,9.06,KDU-ČSL a STAN
Pavel Urubek,640,28,4.38,ODS a TOP 09
Michal Chládek,640,56,8.75,ODS a TOP 09
Petr Kratochvíl,640,44,6.88,ODS a TOP 09
Robert Kerndl,640,91,14.22,ODS a TOP 09
Tomáš Aberl,640,4,0.62,ODS a TOP 09
Libor Zábranský,640,3,0.47,ODS a TOP 09
David Trllo,640,23,3.59,ODS a TOP 09
Markéta Vaňková,640,2,0.31,ODS a TOP 09
Vladan Krásný,640,14,2.19,ODS a TOP 09
Andrea Pazderová,640,39,6.09,ODS a TOP 09
Anna Putnová,640,7,1.09,ODS a TOP 09
Kristýna Černá,640,13,2.03,ODS a TOP 09
Dagmar Seidlová,640,8,1.25,ODS a TOP 09
Jiří Herman,640,18,2.81,ODS a TOP 09
David Grund,640,1,0.16,ODS a TOP 09
Martin Příborský,640,13,2.03,ODS a TOP 09
Tomáš Koláčný,622,23,3.7,Piráti
Adam Zemek,622,16,2.57,Piráti
Monika Lukášová Spilková,622,34,5.47,Piráti
Marek Lahoda,622,17,2.73,Piráti
Petr Levíček,638,26,4.08,SPD+Trikolora
Jiří Kment,638,12,1.88,SPD+Trikolora
Blanka Borovská,638,13,2.04,SPD+Trikolora
Leoš Prokeš,638,10,1.57,SPD+Trikolora
Tomáš Anderle,638,11,1.72,SPD+Trikolora
Tomáš Skřička,638,14,2.19,SPD+Trikolora
Jasna Flamiková,636,59,9.28,Zelení a Žít Brno
Jana Drápalová,636,27,4.25,Zelení a Žít Brno
Matěj Hollan,636,101,15.88,Zelení a Žít Brno
